Obi Toppin	NYK
Jayson Tatum	BOS
Malcolm Brogdon	BOS
Paolo Bachero	ORL
Bruce Brown	DEN
Kentavious Caldwell-Pope	DEN
Gordon Hayward	CHA
Dejounte Murray	ATL
Trae Young	ATL
Kevin Durant	BKN
Royce O'Neale	BKN
Jabari Smith Jr	HOU
Bradley Beal	WAS
DeMar DeRozan	CHI
Terrence Ross	ORL
Joe Harris	BKN
Rudy Gobert	MIN
De'Anthony Melton	PHI
Kevin Porter Jr	HOU
Patrick Beverley	LAL
Jalen Green 	HOU
Bol Bol	ORL
Chuma Okeke	ORL
Kristaps Porzingis	WAS
Monte Morris	WAS
Ivica Zubac	LAC
PJ Washigton	Cha
Anthony Davis	LAL
LeBron James	LAL
OG Anunoby	TOR
Scottie Barnes	TOR
Paolo Banchero	ORL
Isaiah Livers	DET
Kilian Hayes	DET
P.J. Tucker	PHI
Kyle Anderson	MIN
Kavon Looney	GSW
Russel Westbrook	LAL
Naz Reid	MIN
Michael Porter Jr	DEN
Jeff Green	DEN
Luka Doncic	DAL
Eric Gordon	HOU
Alex Caruso	CHI
Herbert Jones	NOP
Jonas Valandiunas	NOP
Malik Monk	SAC
DeAnthony Melton	PHI
Onyeka Okongwu	ATL
Jonas Valaciunas	NOP
Bobby Portis	MIL
Brook Lopez	MIL
Jevon Carter	MIL
Jeremy Sochan	SAS
Chris Boucher	TOR
Brandon Clarke	MEM
Kelly Olynyk	UTA
Myles Turner	IND
PJ Washington	CHA
Alperon Sengun	HOU
OG Anunoby	TOP
Cam Reddish	NYK
Isaiah Hartenstein	NYK
Corey Kispert	WAS
Michael Porter Jr.	DEN
Darius Garland	CLE
Kelly Oubre	CHA
Nick Richards	CHA
John Collins	ATL
Mohamed Bamba	ORL
Keldon Johnson	SAS
Nicolas Claxion	BKN
Jaden McDaniels	MIN
Donovan Milchell	CLE
Jabari Smith	HOU
Kyle Lowry	MIA
Lamelo Ball	CHA
Harrison Barnes	SAC
Tre Jones 	SAS
kelly oubre jr	CHA
Joel Embiid	PHI
John Konchar	MEM
Nikola Vucevic 	CHI
Wendell Carter Jr	ORL
Michael Porter J	DEN
Lonnie Walker IV 	LAL
Clint Capela	ATL
Taurean Prince	MIN
Damian Lillard	POR
Torrey Craig	PHX
Tree Jones	SAS
Jarrett Allen	CLE
Dejounts Murray	AIL
Jayson Totum	BOS
Aye Dosunmu	CHI
Zach LeVine	CHI
Zion Williemson	NOP
Shai Gilgeous-Alexander	OKO
Evan Mobley 	CLE
Mo Bamba	ORL
Aarron Nesmith	IND
Jarred Vanderbilt	UTA
Steven Adams	MEM
Lonnie Walker IV	LAL
Shake Milton	PHI
Drew Eubanks	POR
Tim Hardaway Jr.	DAL
Kevin Huerter	SAC
Josh Giddey	OKO
Shai Gigeous-Alexander	OKO
Shai Gilgeous-Alexande	OKC
Tre Jones	SAS
Killian Hayes	DET
Seth Curry	BKN
Gary Trent Jr	TOR
Nicolas Claxton	BKN
Jeremi Grant	POR
Jorami Grant	POR
Jush Hart	POR
Jaden McDanels	MIN
Dean Wade	CLE
Theo Maledon	CHA
Dennis Schroder	LAL
Tim Hardaway Jr	DAL
Amir Coffey	LAC
Aaron Nesmith	IND
Mitchell Robinson	NYK
Jordan Goodwin	WAS
Marvin Bagley III	DET
Tyus Jones	MEM
Derrick White	BOS
Al Horford	WAS
Josh Green	DAL
Julius Randle	NYX
RJ Barret	NYK
Andrew Nembhard	IND
Cameron Payne	PHX
Fred VanVleet	TOR
Dorian Finney	DAL
Bruce Brown Jr	DEN
Alec Burks	DET
Jaren Jackson Jr.	MEM
DeAnthony Melton	PHI
Jaylen Nowell	MIN
Royce ONeale	BKN
Davion Mitchell	SAC
Bogdan Bogdanovic	ATL
Markelle Fultz	ORL
Quentin Grimes	NYK
DeAaron Fox	SAC
Marvin Bagley	DET
Walker Kessler	UTA
Doug McDermott	SAS
Kawhi Leonard	LAC
Marcus Morris Sr.	LAC
Thomas Bryant	LAL
Norman Powell	LAC
Jalen Duren	DET
Kelly Oubre Jr.	CHA
Kelly Oubre Jr	CHA
P.J. Washington	CHA
Jaden Ivey	DET
Donte DiVincenzo	GSW
Moritz Wagner	ORL
Kevin Porter Jr.	HOU
PJ Tucker	PHI
Isaac Okoro	CLE
Nickeil Alexander-Walker	UTA
Wendell Carter Jr.	ORL
Yuta Watanabe	BKN
Ty Jerome	GSW
Gary Harris	ORL
Zach Collins	SAS
Montrezl Harrell	PHI
DeAndre Hunter	ATL
Cody Martin	IND
Jalen Williams	OKC
Gary Trent Jr.	TOR
Kevin Love	CLE
Shaedon Sharpe	POR
Wenyen Gabriel	LAL
Robert Williams III	BOS
Trey Lyles	SAS
Kenyon Martin Jr.	HOU
Keita Bates-Diop	SAS
Malaki Branham	SAS
Mark Williams	CHA
Xavier Tillman	MEN
